N,total_energy,tech
514,1.46323291328125,ASAP7
516,1.5345424403320314,ASAP7
518,1.595878814038086,ASAP7
520,1.6548352792968748,ASAP7
522,1.722835830322266,ASAP7
524,1.850178512792969,ASAP7
526,1.8818262553710938,ASAP7
528,1.9439743318359373,ASAP7
530,2.0548769552001955,ASAP7
532,2.098224495117188,ASAP7
534,2.2208068006347657,ASAP7
536,2.280858564160156,ASAP7
538,2.3455670869873053,ASAP7
540,2.4398237351074217,ASAP7
542,2.5176127465332034,ASAP7
544,2.592827030859375,ASAP7
546,2.6714445059326173,ASAP7
548,2.745444325146485,ASAP7
550,2.806545720214844,ASAP7
552,2.8989204829101562,ASAP7
554,2.973395919775391,ASAP7
556,3.0526332018554685,ASAP7
558,3.134925704223633,ASAP7
560,3.222570367187501,ASAP7
562,3.2968166114257818,ASAP7
564,3.3778010189941408,ASAP7
566,3.4564232083984376,ASAP7
568,3.5471374034179686,ASAP7
570,3.625628828979493,ASAP7
572,3.7108506633300777,ASAP7
574,3.8040700458496093,ASAP7
576,3.8829280078125006,ASAP7
578,3.9777400062500003,ASAP7
580,4.055402827392578,ASAP7
582,4.142767832666015,ASAP7
584,4.230019710644532,ASAP7
586,4.333339637890624,ASAP7
588,4.418508141796875,ASAP7
590,4.508539923583985,ASAP7
592,4.605220905664063,ASAP7
594,4.696186122729493,ASAP7
596,4.786811337304687,ASAP7
598,4.861668345117188,ASAP7
600,4.972855539550781,ASAP7
602,5.065052007592773,ASAP7
514,14.81911251640625,NanGate45
516,15.151840099804687,NanGate45
518,15.405016357910156,NanGate45
520,15.831721953124998,NanGate45
522,16.363869413378907,NanGate45
524,17.236177420312504,NanGate45
526,17.57760220048828,NanGate45
528,18.5019126703125,NanGate45
530,17.957174529785156,NanGate45
532,19.242030869140628,NanGate45
534,19.887191443945312,NanGate45
536,20.5518778359375,NanGate45
538,19.98269605058594,NanGate45
540,20.251018828124998,NanGate45
542,20.287729031250002,NanGate45
544,21.232573273437502,NanGate45
546,21.0559887890625,NanGate45
548,22.87923921484375,NanGate45
550,24.120363330078128,NanGate45
552,22.539234351562502,NanGate45
554,24.17466961025391,NanGate45
556,24.36689166796875,NanGate45
558,23.585706931640626,NanGate45
560,25.002798515625003,NanGate45
562,25.48076497265625,NanGate45
564,25.59958491796875,NanGate45
566,25.205482884765626,NanGate45
568,28.613074328125002,NanGate45
570,26.116913496093748,NanGate45
572,27.703883796875,NanGate45
574,28.201716990234374,NanGate45
576,27.489062812500002,NanGate45
578,30.308334253906253,NanGate45
580,29.7557909765625,NanGate45
582,33.904484455078126,NanGate45
584,29.152873367187503,NanGate45
586,31.327746558593752,NanGate45
588,30.8086493203125,NanGate45
590,30.7559187109375,NanGate45
592,33.138161421875,NanGate45
594,33.09499771875,NanGate45
596,32.217094296875004,NanGate45
598,35.512652220703124,NanGate45
600,33.803501953125,NanGate45
602,34.33848270507812,NanGate45
